dataset,source,n_samples,n_features,anomaly_rate_pct,threshold,completed_runs,mean_auc_roc,std_auc_roc,mean_auc_pr,std_auc_pr,mean_fit_seconds,mean_predict_seconds
ad,upstream_optiforest,3279,1555,14.0,512,,0.783024794367445,0.003751062498837801,0.45529321459340427,0.01599755630863221,13.054187461133308,6.188440775001072
annthyroid,adbench,7200,6,7.42,55,15,0.568423125084044,0.019866207150083165,0.11826738237725085,0.012671985457974148,8.92792937423413,109.98044995111414
arrhythmia,openml,452,274,14.6,55,15,0.7740618621447637,0.013234374080105528,0.537796293840126,0.02869186913931989,12482.923511924864,3.657656619269983
backdoor,adbench,95329,196,2.44,403,15,0.9085259537297378,0.011294438571202513,0.2940057432579115,0.06299436498592681,53.83578893900073,379.6949424833321
campaign,adbench,41188,62,11.27,403,15,0.6885682873034862,0.012989767170981478,0.25606678367383895,0.017744476748035764,13.80627646393162,152.74492217493437
cardio,adbench,1831,21,9.61,55,15,0.8589872287833011,0.013867187821768238,0.48443522499705666,0.02195465054258385,34.936644119466656,12.499288333464452
celeba,adbench,202599,39,2.24,403,15,0.7789816845471564,0.01691537004311927,0.07651785165497156,0.009700081735539,50.79240837233374,748.501368655536
census,adbench,299285,500,6.2,403,15,0.6749163517106536,0.010752334461930637,0.08709154939828351,0.0030268238434167697,353.50901943339755,1514.2705642667347
cover,adbench,286048,10,0.96,403,15,0.6840974069298926,0.04006294003336372,0.014950296094734286,0.003109831301954597,4712.963159462142,12855.808622099863
donors,adbench,619326,10,5.93,403,15,0.7720148068456181,0.04564739383099232,0.11952314777097767,0.020400756994179464,126.68012126680114,2038.1941509693327
fraud,adbench,284807,29,0.17,403,15,0.9475213286610469,0.003914058694515819,0.4174094723568866,0.05676614785697509,142.4425079175892,3775.7114732964274
http,adbench,567498,3,0.39,403,15,0.9935015938082218,0.0002520729687283001,0.3584254368914733,0.009269737705597251,102.88838017780218,2049.033556999934
ionosphere,openml,351,34,35.9,55,15,0.9401410934744268,0.004161121418506355,0.9257719511033665,0.004163764776430828,12.738370083466483,2.441452019466669
kddcup99,adbench_http_proxy,567498,3,0.39,403,15,0.9935015938082218,0.0002520729687283001,0.3584254368914733,0.009269737705597251,104.56363096666853,2192.781291094468
mnist,adbench,7603,100,9.21,55,15,0.602467884908563,0.023088615318108012,0.15082136941044857,0.028132257500317826,2020.7667085988603,351.10187696797465
satellite,adbench,6435,36,31.64,55,15,0.6598935646950779,0.0157398332700867,0.6468182012394182,0.016764643420459822,2754.794520619534,45.11381233613065
shuttle,adbench,49097,9,7.15,403,15,0.9888951512805995,0.0027281971241022353,0.8251916649095858,0.03041017765020148,199.64956904719972,410.6028972444677
smtp,adbench,95156,3,0.03,403,15,0.8616713505128871,0.014183220344003985,0.6059215048836534,0.03566874352197376,17.74219317793128,337.1356133137985
spam,adbench,4207,57,39.91,55,15,0.7113770833176267,0.003529416376142293,0.5848253496606994,0.006870021041767735,9963.883736475133,26.93832844706582
vowel,adbench,1456,12,3.43,512,15,0.9112546230440967,0.008848051601790106,0.3176152109872159,0.03240334230182495,2.6034165027347624,2.0715788361325393
waveform,adbench,3443,21,2.9,55,15,0.750514906770366,0.01178076104200111,0.059997428247895224,0.004637803933470604,59.829307444466394,24.86298006659975
wine,adbench,129,13,7.75,55,15,0.9971988795518207,0.0016139899485588674,0.9684288674288672,0.019280545412369884,881.4536890276669,1.0270872278653163
